id_proc;pais;zone;DétailCommune;RegroupementRegionPays;
ABW;Aruba;Hors Europe;Autre pays;Autre pays;Autre pays
AFG;Afghanistan;Hors Europe;Autre pays;Autre pays;Autre pays
AGO;Angola;Hors Europe;Autre pays;Autre pays;Autre pays
AIA;Anguilla;Hors Europe;Autre pays;Autre pays;Autre pays
ALA;Åland Islands;Hors Europe;Autre pays;Autre pays;Autre pays
ALB;Albania;Europe;Autre pays;Autre pays;Autre pays
AN;España;España;Andalucía;Autre région d'Espagne;Espagne
AND;Andorra;Europe;Autre pays;Autre pays;Autre pays
ANT;Netherlands Antilles;Hors Europe;Autre pays;Autre pays;Autre pays
AR;España;España;Aragón;Aragon;Espagne
ARE;United Arab Emirates;Hors Europe;Autre pays;Autre pays;Autre pays
ARG;Argentina;Hors Europe;Autre pays;Autre pays;Autre pays
ARM;Armenia;Hors Europe;Autre pays;Autre pays;Autre pays
AS;España;España;Principado de Asturias;Autre région d'Espagne;Espagne
ASM;American Samoa;Hors Europe;Autre pays;Autre pays;Autre pays
ATG;Antigua and Barbuda;Hors Europe;Autre pays;Autre pays;Autre pays
AUS;Australia;Hors Europe;Autre pays;Autre pays;Autre pays
AUT;Austria;Europe;Autre pays;Autre pays;Autre pays
AZE;Azerbaijan;Hors Europe;Autre pays;Autre pays;Autre pays
BDI;Burundi;Hors Europe;Autre pays;Autre pays;Autre pays
BEL;Bélgica;Europe;Autre pays;Autre pays;Autre pays
BEN;Benin;Hors Europe;Autre pays;Autre pays;Autre pays
BFA;Burkina Faso;Hors Europe;Autre pays;Autre pays;Autre pays
BGD;Bangladesh;Hors Europe;Autre pays;Autre pays;Autre pays
BGR;Bulgaria;Europe;Autre pays;Autre pays;Autre pays
BHR;Bahrain;Hors Europe;Autre pays;Autre pays;Autre pays
BHS;Bahamas;Hors Europe;Autre pays;Autre pays;Autre pays
BIH;Bosnia and Herzegovina;Europe;Autre pays;Autre pays;Autre pays
BLR;Belarus;Hors Europe;Autre pays;Autre pays;Autre pays
BLZ;Belize;Hors Europe;Autre pays;Autre pays;Autre pays
BMU;Bermuda;Hors Europe;Autre pays;Autre pays;Autre pays
BOL;Bolivia;Hors Europe;Autre pays;Autre pays;Autre pays
BRA;Brazil;Hors Europe;Autre pays;Autre pays;Autre pays
BRB;Barbados;Hors Europe;Autre pays;Autre pays;Autre pays
BRN;Brunei Darussalam;Hors Europe;Autre pays;Autre pays;Autre pays
BTN;Bhutan;Hors Europe;Autre pays;Autre pays;Autre pays
BWA;Botswana;Hors Europe;Autre pays;Autre pays;Autre pays
CAF;Central African Republic;Hors Europe;Autre pays;Autre pays;Autre pays
CAN;Canada;Hors Europe;Autre pays;Autre pays;Autre pays
CB;España;España;Cantabria;Autre région d'Espagne;Espagne
CE;España;España;Ceuta;Autre région d'Espagne;Espagne
CHE;Switzerland;Europe;Autre pays;Autre pays;Autre pays
CHL;Chile;Hors Europe;Autre pays;Autre pays;Autre pays
CHN;China;Hors Europe;Autre pays;Autre pays;Autre pays
CIV;Côte d Ivoire;Hors Europe;Autre pays;Autre pays;Autre pays
CL;España;España;Castilla y León;Autre région d'Espagne;Espagne
CM;España;España;Castilla La Mancha;Autre région d'Espagne;Espagne
CMR;Cameroon;Hors Europe;Autre pays;Autre pays;Autre pays
CN;España;España;Canarias;Autre région d'Espagne;Espagne
COD;Democratic Republic of the Congo;Hors Europe;Autre pays;Autre pays;Autre pays
COG;Congo;Hors Europe;Autre pays;Autre pays;Autre pays
COK;Cook Islands;Hors Europe;Autre pays;Autre pays;Autre pays
COL;Colombia;Hors Europe;Autre pays;Autre pays;Autre pays
COM;Comoros;Hors Europe;Autre pays;Autre pays;Autre pays
CPV;Cape Verde;Hors Europe;Autre pays;Autre pays;Autre pays
CRI;Costa Rica;Hors Europe;Autre pays;Autre pays;Autre pays
CT;España;España;Cataluña;Catalogne;Espagne
CUB;Cuba;Hors Europe;Autre pays;Autre pays;Autre pays
CYM;Cayman Islands;Hors Europe;Autre pays;Autre pays;Autre pays
CYP;Cyprus;Europe;Autre pays;Autre pays;Autre pays
CZE;Czech Republic;Europe;Autre pays;Autre pays;Autre pays
DEU;Germany;Europe;Autre pays;Autre pays;Autre pays
DJI;Djibouti;Hors Europe;Autre pays;Autre pays;Autre pays
DMA;Dominica;Hors Europe;Autre pays;Autre pays;Autre pays
DNK;Denmark;Hors Europe;Autre pays;Autre pays;Autre pays
DOM;Dominican Republic;Hors Europe;Autre pays;Autre pays;Autre pays
DZA;Algeria;Hors Europe;Autre pays;Autre pays;Autre pays
ECU;Ecuador;Hors Europe;Autre pays;Autre pays;Autre pays
EGY;Egypt;Hors Europe;Autre pays;Autre pays;Autre pays
ERI;Eritrea;Hors Europe;Autre pays;Autre pays;Autre pays
ESH;Western Sahara;Hors Europe;Autre pays;Autre pays;Autre pays
EST;Estonia;Europe;Autre pays;Autre pays;Autre pays
ETH;Ethiopia;Hors Europe;Autre pays;Autre pays;Autre pays
EX;España;España;Extremadura;Autre région d'Espagne;Espagne
FIN;Finland;Europe;Autre pays;Autre pays;Autre pays
FJI;Fiji;Hors Europe;Autre pays;Autre pays;Autre pays
