Sexe;Age;AnneesPratique;Federe;Nombtr3000;Boussole/GPS;Chaussures;sacados;RadioTel;TrousseSecours;id_proc;pico
H;46;15;1;49;0;3;1;0;1;NA;Cotiella
F;44;14;1;40;0;4;1;0;1;NA;Cotiella
H;30;2;0;1;0;3;1;1;1;FRA;Garmo Negro
F;31;2;0;1;0;3;1;1;1;FRA;Garmo Negro
F;37;3;0;2;0;3;1;1;1;FRA;Garmo Negro
H;49;20;1;20;1;4;1;1;1;FRA;Garmo Negro
H;50;20;1;20;1;4;1;1;1;FRA;Garmo Negro
H;60;40;1;25;1;4;1;1;1;FRA;Garmo Negro
F;37;20;1;20;1;4;1;1;1;FRA;Garmo Negro
F;34;20;1;20;1;4;1;1;1;FRA;Garmo Negro
F;36;20;1;2;1;4;1;1;1;FRA;Garmo Negro
F;42;22;1;51;1;3;1;1;1;FRA;Garmo Negro
F;56;4;1;2;1;3;1;1;1;FRA;Garmo Negro
F;47;5;1;3;1;4;1;1;1;FRA;Garmo Negro
H;52;10;1;50;1;4;1;1;1;FRA;Garmo Negro
F;32;10;1;50;1;3;1;1;1;FRA;Garmo Negro
F;34;13;1;30;1;3;1;1;1;FRA;Garmo Negro
F;36;15;1;12;1;3;1;1;1;FRA;Garmo Negro
F;40;16;1;12;1;3;1;1;1;FRA;Garmo Negro
H;31;26;1;26;1;4;1;0;0;CT;Garmo Negro
H;30;22;1;26;1;4;1;0;0;CT;Garmo Negro
H;21;10;0;2;0;3;1;0;0;NA;Garmo Negro
H;38;21;1;40;1;3;1;0;1;CL;Garmo Negro
H;24;2;0;1;0;4;1;0;0;NA;Bisaurín
H;34;15;0;3;1;3;1;0;0;NLD;Bisaurín
F;30;0;0;0;1;2;0;0;0;NLD;Bisaurín
H;43;20;0;5;1;3;1;0;0;FRA;Bisaurín
F;45;20;0;5;1;3;1;0;0;FRA;Bisaurín
F;32;10;0;2;1;3;1;0;1;FRA;Bisaurín
F;39;10;0;4;1;3;1;0;1;FRA;Bisaurín
H;33;10;0;4;1;4;1;0;1;FRA;Bisaurín
H;33;10;0;2;1;3;1;0;1;FRA;Bisaurín
H;31;10;0;2;1;3;1;0;1;FRA;Bisaurín
H;48;25;0;4;1;4;1;0;1;FRA;Bisaurín
H;50;25;0;1;1;4;1;0;1;FRA;Bisaurín
F;42;25;0;5;1;3;1;0;1;FRA;Bisaurín
F;43;25;0;2;1;3;1;0;1;FRA;Bisaurín
F;42;25;0;2;1;4;1;0;1;FRA;Bisaurín
H;62;30;0;5;1;4;1;0;1;FRA;Bisaurín
H;78;60;0;6;1;4;1;0;1;FRA;Bisaurín
H;43;5;0;0;1;4;1;1;1;PV;Bisaurín
H;12;5;0;0;1;3;0;1;1;PV;Bisaurín
F;43;5;0;0;1;3;1;1;1;PV;Bisaurín
H;37;10;1;100;0;4;1;0;1;PV;Vallibierna
H;40;15;1;35;0;3;0;0;1;PV;Vallibierna
H;32;22;0;30;0;4;1;0;1;M;Vallibierna
H;12;4;0;1;0;3;1;0;1;M;Vallibierna
H;40;20;1;35;1;3;1;1;1;AR;Vallibierna
H;36;33;1;15;1;3;1;1;1;AR;Vallibierna
F;36;20;1;15;1;3;1;1;1;AR;Vallibierna
H;22;7;1;15;1;4;1;1;1;CT;Vallibierna
H;28;7;1;8;1;4;1;1;1;CT;Vallibierna
H;28;7;0;1;1;4;1;1;1;CT;Vallibierna
H;26;15;1;3;1;4;1;1;1;CT;Vallibierna
H;46;10;1;14;0;3;1;1;0;AR;Vallibierna
F;40;10;1;14;0;3;1;1;0;AR;Vallibierna
F;17;7;1;1;0;3;1;1;0;AR;Vallibierna
H;25;12;0;8;0;3;1;1;1;COL;Vallibierna
F;26;4;1;8;0;3;1;1;1;COL;Vallibierna
H;26;0;0;1;0;3;1;1;1;COL;Vallibierna
F;5;0;0;1;0;2;0;1;1;COL;Vallibierna
F;21;0;0;1;0;3;0;1;1;CT;Vallibierna
H;20;8;0;10;0;4;1;1;1;CT;Vallibierna
H;28;7;1;10;0;4;1;1;1;CT;Vallibierna
H;33;15;0;10;0;3;1;0;0;M;Vallibierna
H;35;5;0;1;0;3;0;0;0;M;Vallibierna
F;39;5;0;2;0;3;0;0;0;M;Vallibierna
F;21;3;1;10;0;3;1;1;1;CT;Vallibierna
H;22;3;1;10;0;3;1;1;1;CT;Vallibierna
H;27;15;1;10;0;3;1;0;1;CT;Vallibierna
H;29;15;0;13;0;4;1;0;1;CT;Vallibierna
H;22;9;0;10;0;4;1;1;1;AR;Vallibierna
H;23;11;0;10;0;3;1;1;1;AR;Vallibierna
H;30;14;1;10;0;2;1;1;1;AR;Vallibierna
H;21;14;0;55;0;4;1;1;1;AR;Vallibierna
H;22;8;0;3;0;3;1;1;1;AR;Vallibierna
H;52;37;1;250;0;3;1;1;1;PV;Vallibierna
H;59;40;1;300;0;3;1;1;1;PV;Vallibierna
H;65;40;1;300;0;4;1;1;1;PV;Vallibierna
