Pic;Zone (Carte);comarca;Altitude
Aneto;Valle de Benasque;Ribagorza;3404
Aragüells;Valle de Benasque;Ribagorza;3048
Aspe;Valle del Aragon ;Jacetanía;2645
Bachimala;Valle de Chistau;Sobrarbe;3174
Bacías;Valle de Tena;Alto Gallego;2760
Bisaurín;Valle del Aragon ;Jacetanía;2669
Castillo de Acher;Valles Occidentales;Jacetanía;2384
Cilindro;Valle de Ordesa;Sobrarbe;3328
Collarada;Valle del Aragon ;Jacetanía;2886
Cotiella;Valle de Chistau;Sobrarbe;2912
Garmo Negro;Valle de Tena;Alto Gallego;3051
Infiernos;Valle de Tena;Alto Gallego;3082
La Facha;Valle de Tena;Alto Gallego;3005
La Munia;Valle de Pineta;Sobrarbe;3133
Monte Perdido;Valle de Ordesa;Sobrarbe;3355
Mulleres;Valle de Benasque;Ribagorza;3009
Peña Forca;Valles Occidentales;Jacetanía;2391
Petrechema;Valles Occidentales;Jacetanía;2366
Pico de Alba;Valle de Benasque;Ribagorza;3118
Posets;Valle de Benasque;Ribagorza;3369
Punta Escuzana;Valle de Ordesa;Alto Gallego;2847
Punta Las Olas;Valle de Pineta;Sobrarbe;3022
Punta Suelza;Valle de Chistau;Sobrarbe;2973
Robiñera;Valle de Pineta;Sobrarbe;3003
Tendeñera;Valle de Tena;Alto Gallego;2853
Vallibierna;Valle de Benasque;Ribagorza;3067
